Line    | Lexeme         | Token Type
--------------------------------------------------
1       | /@             | COMMENT_START
1       |  
   Test file for Project#3 compiler
   This file demonstrates arrays, pointers, and complex expressions 
| COMMENT_CONTENT
4       | @/             | COMMENT_END
6       | /^             | SINGLE_LINE_COMMENT_START
6       |  Structure for complex data| SINGLE_LINE_COMMENT_CONTENT
7       | Loli           | STRUCT
7       | Vector         | IDENTIFIER
7       | {              | BRACE
8       | IMwf           | FLOAT
8       | x              | IDENTIFIER
8       | ;              | SEMICOLON
9       | IMwf           | FLOAT
9       | y              | IDENTIFIER
9       | ;              | SEMICOLON
10      | IMwf           | FLOAT
10      | z              | IDENTIFIER
10      | ;              | SEMICOLON
11      | }              | BRACE
11      | ;              | SEMICOLON
13      | /^             | SINGLE_LINE_COMMENT_START
13      |  Function to calculate vector magnitude| SINGLE_LINE_COMMENT_CONTENT
14      | IMwf           | FLOAT
14      | magnitude      | IDENTIFIER
14      | (              | BRACE
14      | Loli           | STRUCT
14      | Vector         | IDENTIFIER
14      | v              | IDENTIFIER
14      | )              | BRACE
14      | {              | BRACE
15      | IMwf           | FLOAT
15      | result         | IDENTIFIER
15      | ;              | SEMICOLON
16      | result         | IDENTIFIER
16      | =              | ASSIGNMENT_OP
16      | (              | BRACE
16      | v              | IDENTIFIER
16      | ->             | ACCESS_OP
16      | x              | IDENTIFIER
16      | *              | MULOP
16      | v              | IDENTIFIER
16      | ->             | ACCESS_OP
16      | x              | IDENTIFIER
16      | )              | BRACE
16      | +              | ADDOP
16      | (              | BRACE
16      | v              | IDENTIFIER
16      | ->             | ACCESS_OP
16      | y              | IDENTIFIER
16      | *              | MULOP
16      | v              | IDENTIFIER
16      | ->             | ACCESS_OP
16      | y              | IDENTIFIER
16      | )              | BRACE
16      | +              | ADDOP
16      | (              | BRACE
16      | v              | IDENTIFIER
16      | ->             | ACCESS_OP
16      | z              | IDENTIFIER
16      | *              | MULOP
16      | v              | IDENTIFIER
16      | ->             | ACCESS_OP
16      | z              | IDENTIFIER
16      | )              | BRACE
16      | ;              | SEMICOLON
17      | Turnback       | RETURN
17      | result         | IDENTIFIER
17      | ;              | SEMICOLON
18      | }              | BRACE
20      | /^             | SINGLE_LINE_COMMENT_START
20      |  Array manipulation function| SINGLE_LINE_COMMENT_CONTENT
21      | Imw            | INTEGER
21      | sumArray       | IDENTIFIER
21      | (              | BRACE
21      | Series         | STRING
21      | arr            | IDENTIFIER
21      | ,              | COMMA
21      | Imw            | INTEGER
21      | size           | IDENTIFIER
21      | )              | BRACE
21      | {              | BRACE
22      | Imw            | INTEGER
22      | sum            | IDENTIFIER
22      | ;              | SEMICOLON
23      | sum            | IDENTIFIER
23      | =              | ASSIGNMENT_OP
23      | 0              | CONSTANT
23      | ;              | SEMICOLON
25      | Reiterate      | LOOP
25      | (              | BRACE
25      | Imw            | INTEGER
25      | i              | IDENTIFIER
25      | =              | ASSIGNMENT_OP
25      | 0              | CONSTANT
25      | ;              | SEMICOLON
25      | i              | IDENTIFIER
25      | <              | RELATIONAL_OP
25      | size           | IDENTIFIER
25      | ;              | SEMICOLON
25      | i              | IDENTIFIER
25      | =              | ASSIGNMENT_OP
25      | i              | IDENTIFIER
25      | +              | ADDOP
25      | 1              | CONSTANT
25      | )              | BRACE
25      | {              | BRACE
26      | sum            | IDENTIFIER
26      | =              | ASSIGNMENT_OP
26      | sum            | IDENTIFIER
26      | +              | ADDOP
26      | arr            | IDENTIFIER
26      | [              | BRACE
26      | i              | IDENTIFIER
26      | ]              | BRACE
26      | ;              | SEMICOLON
27      | }              | BRACE
29      | Turnback       | RETURN
29      | sum            | IDENTIFIER
